"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18138859501375566,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","No doubt storytelling is powerful, but how are forward-thinking brands harnessing that power on digital? 
Catch the full tea on LinkedIn
Check the link in our bio for the 1 min read. #DigitalStorytelling #IDEABootcamp",0,"01/15/2025 07:03",https://www.instagram.com/p/DE2b-McMrvR/,"IG image",,Lifetime,856,27,0,0,1,326,0
18317696965167397,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Your favourite idea people are doing something sweet for a lucky business online. Tag a business that needs a marketing campaign for Valentine.

#BrandID #SpreadTheLove",0,"01/31/2025 07:18",https://www.instagram.com/p/DFfqaFss1Ml/,"IG carousel",,Lifetime,1430,76,7,8,3,596,3
18083926369581873,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","@loopandco_ ready to knit magic together? Big love to everyone who joined in; y’all really know how to spread the love. Stay tuned for more from Interactive Digital!

#BrandID #SpreadTheLove #Valentine #CrochetLove",0,"02/11/2025 06:11",https://www.instagram.com/p/DF73em5MCEN/,"IG image",,Lifetime,1249,31,3,3,0,422,0
18150386119362467,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Roses are red and violets are blue, but how often do we look at our creative practices and say, I love you?

#BrandID #HappyValentinesDay #SpreadTheLove",0,"02/14/2025 04:41",https://www.instagram.com/p/DGDbjgis9e4/,"IG carousel",,Lifetime,983,59,1,4,1,354,0
17974249805693060,17841454140397714,loopandco_,"Loop & Co.","Your ideas are worth weaving into reality. 
From color to thread, we bring your vision to life! Clothing that makes you bold, unique, and made truly yours. 

Let’s create something amazing together. Order now. 
#BrandID #LoopAndCo #ProBono",0,"02/18/2025 02:22",https://www.instagram.com/p/DGNezg2tIlY/,"IG image",,Lifetime,1012,47,4,0,0,,
18055188877890435,17841454140397714,loopandco_,"Loop & Co.","Every stitch tells a love story. From our hands to yours, we’re crafting something special this Valentine’s! 
Pre-order your crochet pieces now: made with love, just for you.
DM us to join the waiting list!

#Brand!D #LoopAndCo #crochetlover #handmade #explore",31,"02/20/2025 07:48",https://www.instagram.com/reel/DGTMxLTtOFA/,"IG reel",,Lifetime,599,24,3,0,0,,
17921034192022349,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","We had to find out the story behind @loopandco_ and we did! Love is in every loop, threaded with the intention to make the user feel loved and special.

Place an order now and get 15% off this special month of love.

#Brand!D #LoopAndCo #MadeWithLove",174,"02/22/2025 07:49",https://www.instagram.com/reel/DGYVuaLMSOA/,"IG reel",,Lifetime,869,33,7,0,0,601,0
18005616047551566,17841454140397714,loopandco_,"Loop & Co.","Last call! Our February pre-order slots are filling up FAST! 
Join the loop and own something handmade with love.
Comment “LOOP” to get on the list!

#BrandID #loopandco #crochetlover #digitalmarketing #crochet",0,"02/28/2025 05:40",https://www.instagram.com/p/DGnlepCttUC/,"IG image",,Lifetime,803,26,1,0,0,,
18069512695724720,17841400282623291,scefinternational,"Street Children Empowerment Foundation","𝐒𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐧𝐞𝐰 𝐢𝐬 𝐡𝐞𝐫𝐞!📣✨

As the past fades, a bold new identity emerges. We’ve reimagined our look, but our mission remains stronger than ever.✊

Can you guess what’s new? 🤔
Stay tuned!⚡️

#scefat15 #scefrebrand",0,"03/26/2025 02:24",https://www.instagram.com/p/DHqE14XOq3N/,"IG image",,Lifetime,,127,5,8,0,,
18001109030598056,17841400282623291,scefinternational,"Street Children Empowerment Foundation","𝐒𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐧𝐞𝐰 𝐢𝐬 𝐡𝐞𝐫𝐞!📣✨

As the past fades, a bold new identity emerges. We’ve reimagined our look, but our mission remains stronger than ever.✊

Can you guess what’s new? 🤔
Stay tuned!⚡️

#scefat15 #scefrebrand",11,"03/26/2025 12:36",https://www.instagram.com/reel/DHrKv4Wokup/,"IG reel",,Lifetime,726,44,3,5,0,,
